pk,ispb,code,name
127,53518684,269,BANCO HSBC S.A.
128,61444949,270,Sagitur Corretora de Câmbio Ltda.
129,27842177,271,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.                      "
130,250699,272,AGK CORRETORA DE CAMBIO S.A.
131,8253539,273,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel
132,11581339,274,MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT
133,11970623,276,BANCO SENFF S.A.
134,27652684,278,Genial Investimentos Corretora de Valores Mobiliários S.A.
135,26563270,279,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE
136,23862762,280,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                      "
137,76461557,281,Cooperativa de Crédito Rural Coopavel
138,89960090,283,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA
139,71677850,285,Frente Corretora de Câmbio Ltda.
140,7853842,286,COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO
141,62237649,288,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
142,94968518,289,EFX CORRETORA DE CÂMBIO LTDA.
143,8561701,290,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.
144,28650236,292,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
145,71590442,293,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
146,4062902,296,OZ CORRETORA DE CÂMBIO S.A.
147,17772370,298,Vip's Corretora de Câmbio Ltda.
148,4814563,299,BANCO SOROCRED S.A. - BANCO MÚLTIPLO
149,33042151,300,Banco de la Nacion Argentina
150,13370835,301,BPP Instituição de Pagamento S.A.
151,40303299,306,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
152,3751794,307,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.
153,14190547,309,CAMBIONET CORRETORA DE CÂMBIO LTDA.
154,22610500,310,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
155,76641497,311,DOURADA CORRETORA DE CÂMBIO LTDA.
